iter	Passed	Remaining
1036	12923	2031
1037	12936	2018
1038	12946	2006
1039	12970	1995
1040	12995	1984
1041	13013	1973
1042	13023	1960
1043	13036	1948
1044	13047	1935
1045	13059	1922
1046	13069	1909
1047	13082	1897
1048	13091	1884
1049	13101	1871
1050	13113	1859
1051	13125	1846
1052	13138	1834
1053	13150	1821
1054	13162	1809
1055	13176	1796
1056	13187	1784
1057	13197	1771
1058	13206	1758
1059	13227	1747
1060	13244	1735
1061	13255	1722
1062	13266	1709
1063	13278	1697
1064	13287	1684
1065	13298	1671
1066	13311	1659
1067	13326	1647
1068	13337	1634
1069	13346	1621
1070	13360	1609
1071	13371	1596
1072	13391	1585
1073	13413	1573
1074	13438	1562
1075	13450	1550
1076	13463	1537
1077	13475	1525
1078	13488	1512
1079	13498	1499
1080	13507	1487
1081	13521	1474
1082	13533	1462
1083	13546	1449
1084	13559	1437
1085	13571	1424
1086	13583	1412
1087	13594	1399
1088	13606	1386
1089	13618	1374
1090	13633	1362
1091	13644	1349
1092	13656	1336
1093	13668	1324
1094	13679	1311
1095	13691	1299
1096	13703	1286
1097	13714	1274
1098	13724	1261
1099	13737	1248
1100	13749	1236
1101	13761	1223
1102	13772	1211
1103	13783	1198
1104	13794	1185
1105	13806	1173
1106	13817	1160
1107	13829	1148
1108	13843	1135
1109	13857	1123
1110	13869	1111
1111	13883	1098
1112	13896	1086
1113	13906	1073
1114	13917	1060
1115	13926	1048
1116	13937	1035
1117	13947	1022
1118	13961	1010
1119	13971	997
1120	13983	985
1121	13995	972
1122	14009	960
1123	14020	948
1124	14031	935
1125	14044	922
1126	14055	910
1127	14067	897
1128	14080	885
1129	14090	872
1130	14102	860
1131	14114	847
1132	14130	835
1133	14143	823
1134	14157	810
1135	14168	798
1136	14180	785
1137	14193	773
1138	14205	760
1139	14217	748
1140	14230	735
1141	14247	723
1142	14266	711
1143	14279	698
1144	14291	686
1145	14308	674
1146	14319	661
1147	14330	649
1148	14340	636
1149	14351	623
1150	14360	611
1151	14371	598
1152	14383	586
1153	14394	573
1154	14404	561
1155	14414	548
1156	14426	536
1157	14436	523
1158	14446	511
1159	14456	498
1160	14468	486
1161	14480	473
1162	14492	461
1163	14504	448
1164	14513	436
1165	14524	423
1166	14534	410
1167	14546	398
1168	14558	386
1169	14569	373
1170	14590	361
1171	14615	349
1172	14629	336
1173	14640	324
1174	14650	311
1175	14661	299
1176	14674	286
1177	14684	274
